Generation,ID,fitness,max Fitness,mean fitness,,,,,,,
36,290,694.7,0,0,,,,,,,
,,,,,,,,,,,
0,0,0,694.7,305.64,,,,,,,
,,,,,,,,,,,
37,290,606.8,0,0,,,,,,,
,,,,,,,,,,,
37,258,613.3,0,0,,,,,,,
,,,,,,,,,,,
37,291,430.3,0,0,,,,,,,
,,,,,,,,,,,
37,292,466.1,0,0,,,,,,,
,,,,,,,,,,,
37,293,53.9,0,0,,,,,,,
,,,,,,,,,,,
37,294,440.4,0,0,,,,,,,
,,,,,,,,,,,
37,295,451.8,0,0,,,,,,,
,,,,,,,,,,,
37,296,459,0,0,,,,,,,
,,,,,,,,,,,
37,297,81.6,0,0,,,,,,,
,,,,,,,,,,,
37,298,592.5,0,0,,,,,,,
,,,,,,,,,,,
0,0,0,613.3,419.57,,,,,,,
,,,,,,,,,,,
38,258,655.4,0,0,,,,,,,
,,,,,,,,,,,
38,290,700.4,0,0,,,,,,,
,,,,,,,,,,,
38,299,159,0,0,,,,,,,
,,,,,,,,,,,
38,300,436.1,0,0,,,,,,,
,,,,,,,,,,,
38,301,428.3,0,0,,,,,,,
,,,,,,,,,,,
38,302,453.1,0,0,,,,,,,
,,,,,,,,,,,
38,303,452.9,0,0,,,,,,,
,,,,,,,,,,,
38,304,205,0,0,,,,,,,
,,,,,,,,,,,
38,305,435.6,0,0,,,,,,,
,,,,,,,,,,,
38,306,642.8,0,0,,,,,,,
,,,,,,,,,,,
0,0,0,700.4,456.86,,,,,,,
,,,,,,,,,,,
39,290,643.8,0,0,,,,,,,
,,,,,,,,,,,
39,258,631.2,0,0,,,,,,,
,,,,,,,,,,,
39,307,67.2,0,0,,,,,,,
,,,,,,,,,,,
39,308,660.1,0,0,,,,,,,
,,,,,,,,,,,
39,309,75.3,0,0,,,,,,,
,,,,,,,,,,,
39,310,470.2,0,0,,,,,,,
,,,,,,,,,,,
39,311,463.2,0,0,,,,,,,
,,,,,,,,,,,
39,312,139.1,0,0,,,,,,,
,,,,,,,,,,,
39,313,168.2,0,0,,,,,,,
,,,,,,,,,,,
39,314,1223.7,0,0,,,,,,,
,,,,,,,,,,,
0,0,0,1223.7,454.2,,,,,,,
,,,,,,,,,,,
40,314,1152.7,0,0,,,,,,,
,,,,,,,,,,,
40,308,419.4,0,0,,,,,,,
,,,,,,,,,,,
40,315,459.5,0,0,,,,,,,
,,,,,,,,,,,
40,316,373.7,0,0,,,,,,,
,,,,,,,,,,,
40,317,439.2,0,0,,,,,,,
,,,,,,,,,,,
40,318,608.7,0,0,,,,,,,
,,,,,,,,,,,
40,319,77.7,0,0,,,,,,,
,,,,,,,,,,,
